Vec2(0.45, 1.25) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.30, 1.37) ; nearly at the center of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.55, 0.24) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.83, 0.05) ; not squarely at the center of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.33, 0.69) ; somewhat near the center of the table ; (S1 (FRAG (RB somewhat) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.59, 0.80) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.28, 0.00) ; not very far from the this end of the table ; (S1 (FRAG (RB not) (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.71, 0.56) ; quite far from the middle of the right edge of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.66, 0.54) ; not really close to the left side of the near edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.78, 0.64) ; really far from the middle of the right edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.29, 0.60) ; quite far from the right side of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.29, 1.63) ; very far from the other end of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.13, 0.96) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.33, 0.23) ; not very near the near edge of the table ; (S1 (FRAG (ADVP (RB not) (RB very)) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.08, 0.59) ; not at the upper left corner of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (JJ upper) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.31, 1.22) ; fairly far from the near edge of the table ; (S1 (ADVP (ADVP (RB fairly) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.81, 0.88) ; somewhat close to the middle of the right edge of the table ; (S1 (ADJP (RB somewhat) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.09, 0.24) ; not quite near the middle of the near edge of the table ; (S1 (FRAG (ADVP (RB not) (RB quite)) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.48, 0.86) ; not quite far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.80, 0.05) ; squarely at the near end of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.67, 1.42) ; fairly close to the center of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.01, 0.66) ; not quite far from the left side of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.35, 0.97) ; squarely at the middle of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.99, 0.00) ; not far from the near end of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.59, 0.78) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.63, 0.86) ; not far from the center of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.29, 0.06) ; not far from the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.68, 1.10) ; not squarely at the right side of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.61, 1.32) ; not rather close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.16, 0.34) ; not far from the left edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.80, 0.55) ; quite far from the right side of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.93, 0.46) ; squarely at the right edge of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.84, 1.45) ; not far from the middle of the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.01, 0.49) ; almost at the left edge of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.46, 0.08) ; not far from the middle of the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.98, 0.90) ; not rather far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 0.00) ; not really far from the near end of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB far) (PP (IN from) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.37, 0.32) ; not far from the this end of the left edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.53, 0.03) ; squarely at the my end of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.89, 0.65) ; not far from the middle of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.41, 1.37) ; not really close to the left side of the far edge of the table ; (S1 (FRAG (RB not) (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))))
Vec2(0.62, 1.35) ; pretty far from the my end of the right edge of the table ; (S1 (ADVP (ADVP (RB pretty) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.71, 0.81) ; not really near the far end of the right edge of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.11, 1.50) ; nearly at the left edge of the table ; (S1 (FRAG (RB nearly) (PP (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.32, 0.27) ; somewhat close to the near end of the table ; (S1 (S (ADJP (RB somewhat) (RB close) (PP (TO to) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.85, 1.99) ; almost at the far edge of the table ; (S1 (FRAG (RB almost) (PP (IN at) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.35, 0.08) ; very near the my end of the table ; (S1 (FRAG (RB very) (PP (IN near) (NP (NP (DT the) (JJ my) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.49, 0.73) ; not very far from the middle of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB far) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.95, 0.86) ; really close to the middle of the table ; (S1 (S (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.88, 1.27) ; not really near the center of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.11, 0.74) ; not at the middle of the table ; (S1 (FRAG (RB not) (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.14, 1.35) ; squarely at the left side of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.09, 0.06) ; not very far from the this end of the table ; (S1 (FRAG (RB not) (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (DT this) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 0.34) ; not squarely at the near end of the left edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.78, 1.12) ; really far from the right edge of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.83, 0.80) ; somewhat close to the right edge of the table ; (S1 (S (ADJP (RB somewhat) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.35, 1.93) ; quite close to the other end of the table ; (S1 (ADVP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ other) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 1.39) ; not very close to the right side of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.92, 1.62) ; rather close to the right edge of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.32, 0.03) ; very close to the near edge of the table ; (S1 (ADVP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.30, 0.09) ; not squarely at the center of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.72, 0.73) ; somewhat far from the left side of the near edge of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.45, 1.29) ; near the middle of the table ; (S1 (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.76, 1.27) ; fairly far from the right side of the near edge of the table ; (S1 (ADVP (ADVP (RB fairly) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.81, 1.99) ; not far from the far edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.51, 1.66) ; fairly close to the center of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.94, 0.29) ; really close to the right edge of the table ; (S1 (S (ADJP (RB really) (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.48, 1.94) ; rather close to the center of the table ; (S1 (ADVP (RB rather) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.95, 1.09) ; not far from the right side of the far edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.66, 1.22) ; somewhat far from the near edge of the table ; (S1 (ADVP (ADVP (RB somewhat) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.17, 0.98) ; squarely at the middle of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.23, 1.51) ; not rather near the center of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.06, 0.98) ; at the middle of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.86, 1.71) ; not near the upper right corner of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (JJ upper) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.82, 0.40) ; really far from the lower right corner of the table ; (S1 (ADVP (ADVP (RB really) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.59, 0.62) ; rather near the middle of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.57, 1.20) ; not very close to the center of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.38, 0.04) ; not rather far from the near edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.26, 1.85) ; squarely at the far edge of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.41, 0.74) ; very far from the middle of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.72, 0.19) ; pretty near the near end of the right edge of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.73, 0.51) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.89, 0.05) ; close to the right edge of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.33, 1.64) ; very far from the upper left corner of the table ; (S1 (ADVP (ADVP (RB very) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ upper) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.33, 1.76) ; rather near the far end of the table ; (S1 (PP (RB rather) (PP (IN near) (NP (NP (DT the) (JJ far) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.25, 1.97) ; pretty close to the that end of the table ; (S1 (S (ADJP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (DT that) (NN end)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.15, 1.23) ; not squarely at the that end of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN that) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.09, 1.30) ; pretty near the left edge of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.01, 0.28) ; quite close to the left edge of the table ; (S1 (ADVP (RB quite) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.97, 1.53) ; not far from the right edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.89, 0.89) ; not very close to the upper left corner of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ upper) (JJ left) (NN corner)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.53, 0.93) ; fairly near the middle of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.33, 0.05) ; quite near the near edge of the table ; (S1 (NP (PDT quite) (PP (IN near) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.93, 0.20) ; pretty far from the left side of the far edge of the table ; (S1 (ADVP (ADVP (RB pretty) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.66, 1.93) ; not squarely at the right edge of the table ; (S1 (FRAG (RB not) (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.44, 1.11) ; close to the middle of the table ; (S1 (S (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.83, 1.19) ; near the right side of the table ; (S1 (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.37, 0.31) ; not near the lower left corner of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (JJR lower) (NN left) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.92, 0.99) ; at the center of the table ; (S1 (PP (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.73, 0.71) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.09, 0.80) ; fairly close to the left edge of the table ; (S1 (ADVP (RB fairly) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.66, 1.75) ; not close to the left side of the table ; (S1 (FRAG (RB not) (ADJP (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.39, 1.34) ; pretty close to the left side of the table ; (S1 (S (ADJP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.92, 0.23) ; not quite far from the right edge of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.65, 0.72) ; not far from the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.50, 0.96) ; squarely at the center of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.45, 0.70) ; not rather far from the middle of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.38, 0.16) ; not quite near the near end of the table ; (S1 (FRAG (ADVP (RB not) (RB quite)) (PP (IN near) (NP (NP (DT the) (JJ near) (NN end)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.97, 1.03) ; pretty near the right side of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.58, 0.11) ; not far from the center of the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.64, 1.90) ; fairly near the far edge of the table ; (S1 (FRAG (RB fairly) (PP (IN near) (NP (NP (DT the) (JJ far) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.74, 0.09) ; not far from the lower right corner of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJR lower) (JJ right) (NN corner)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.67, 1.05) ; not very near the center of the table ; (S1 (FRAG (ADVP (RB not) (RB very)) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.64, 0.75) ; not rather far from the center of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.60, 0.46) ; quite far from the center of the table ; (S1 (ADVP (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.14, 0.86) ; pretty near the left edge of the table ; (S1 (FRAG (RB pretty) (PP (IN near) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.31, 1.41) ; pretty close to the center of the table ; (S1 (ADVP (RB pretty) (RB close) (PP (TO to) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.29, 0.66) ; not rather near the middle of the left edge of the table ; (S1 (FRAG (RB not) (RB rather) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.10, 0.19) ; not far from the middle of the near edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (NP (DT the) (JJ near) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.03, 0.92) ; not far from the left edge of the table ; (S1 (ADVP (ADVP (RB not) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.90, 1.71) ; not quite far from the right side of the table ; (S1 (FRAG (RB not) (ADVP (RB quite) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ right) (NN side)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.14, 0.67) ; not near the center of the left edge of the table ; (S1 (FRAG (RB not) (PP (IN near) (NP (NP (DT the) (NN center)) (PP (IN of) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))))
Vec2(0.43, 1.68) ; not very close to the left side of the table ; (S1 (FRAG (RB not) (ADJP (RB very) (RB close) (PP (TO to) (NP (NP (DT the) (JJ left) (NN side)) (PP (IN of) (NP (DT the) (NN table))))))))
Vec2(0.01, 0.39) ; squarely at the left edge of the table ; (S1 (PP (ADVP (RB squarely)) (IN at) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table))))))
Vec2(0.24, 0.55) ; not rather far from the left edge of the table ; (S1 (FRAG (RB not) (ADVP (RB rather) (RB far)) (PP (IN from) (NP (NP (DT the) (JJ left) (NN edge)) (PP (IN of) (NP (DT the) (NN table)))))))
Vec2(0.94, 1.21) ; not really near the middle of the table ; (S1 (ADVP (RB not) (RB really) (PP (IN near) (NP (NP (DT the) (NN middle)) (PP (IN of) (NP (DT the) (NN table)))))))
